Simplified	Traditional	Japanese	Pinyin	Jyutping	CC-CEDICT English definition
朋友圈	朋友圈	仲間	péng you quān	pang4 jau5 hyun1	Moments (social networking function of smartphone app WeChat 微信)
微	微	マイクロ	wēi	mei4	surname Wei / ancient Chinese state near present day Chongqing / Taiwan pr. [Wei2] || tiny / miniature / slightly / profound / abtruse / to decline / one millionth part of / micro- / Taiwan pr. [wei2]
圈	圈	円	juān	hyun1	to confine / to lock up / to pen in || pen (pig) / a fold || circle / ring / loop / classifier for loops, orbits, laps of race etc / CL: 個｜个 / to surround / to circle
关注	關注	注意	guān zhù	gwaan1 zyu3	to pay attention to / to follow sth closely / concern / interest / attention
赞	贊	賞賛	zàn	zaan3	to patronize / to support / to praise / (Internet slang) to like (an online post on Facebook etc)
转发	轉發	転送されました	zhuǎn fā	zyun2 faat3	to transmit / to forward (mail, SMS, packets of data) / to pass on / to republish (an article from another publication)
好友	好友	フレンズ	hǎo yǒu	hou2 jau5	close friend / pal / (social networking website) friend / CL: 個｜个
粉丝	粉絲	ファン	fěn sī	fan2 si1	bean vermicelli / mung bean starch noodles / Chinese vermicelli / cellophane noodles / CL: 把 / fan (loanword) / enthusiast for sb or sth
分享	分享	シェア	fēn xiǎng	fan1 hoeng2	to share (let others have some of sth good)
评论	評論	レビュー	píng lùn	ping4 leon6	to comment on / to discuss / comment / commentary / CL: 篇
粉	粉	パウダー	fěn	fan2	powder / cosmetic face powder / food prepared from starch / noodles or pasta made from any kind of flour / whitewash / white / pink
丝	絲	ワイヤー	sī	si1	silk / thread / trace / (cuisine) shreds or julienne strips / CL: 條｜条 / classifier: a thread (of cloud, smoke etc), a bit, an iota, a hint (of sth) etc
享	享	楽しみます	xiǎng	hoeng2	to enjoy / to benefit / to have the use of
评	評	レビュー	píng	ping4	to discuss / to comment / to criticize / to judge / to choose (by public appraisal)
论	論	理論	lún	leon6	abbr. for 論語｜论语, The Analects (of Confucius) || opinion / view / theory / doctrine / to discuss / to talk about / to regard / to consider / per / by the (kilometer, hour etc)
销	銷	ピン	xiāo	siu1	to melt (metal) / to cancel or annul / to sell / to spend / to fasten with a bolt / bolt or pin
收据	收據	領収書	shōu jù	sau1 geoi3	receipt / CL: 張｜张
报销	報銷	費用勘定を提出	bào xiāo	bou3 siu1	to submit an expense account / to apply for reimbursement / to write off / to wipe out
费用	費用	料金	fèi yòng	fai3 jung6	cost / expenditure / expense / CL: 筆｜笔, 個｜个
尽快	盡快	可能な限り迅速に	jǐn kuài	zeon6 faai3	as quickly as possible / as soon as possible / with all speed || see 儘快｜尽快
回复	回複	返信	huí fù	wui4 fuk1	to reply / to recover / to return (to a previous condition) / Re: in reply to (email)
报告	報告	レポート	bào gào	bou3 gou3	to inform / to report / to make known / report / speech / talk / lecture / CL: 篇, 份, 個｜个, 通
协议	協議	合意	xié yì	hip3 ji5	agreement / pact / protocol / CL: 項｜项
尽	盡	疲れ果て	jǐn	zeon6	to the greatest extent / (when used before a noun of location) furthest or extreme / to be within the limits of / to give priority to || to use up / to exhaust / to end / to finish / to the utmost / exhausted / finished / to the limit (of sth) / all / entirely
协	協	アシスト	xié	hip3	to cooperate / to harmonize / to help / to assist / to join
合同	合同	契約	hé tong	hap6 tung4	(business) contract / CL: 個｜个
项目	項目	プロジェクト	xiàng mù	hong6 muk6	item / project / (sports) event / CL: 個｜个
签名	簽名	署名	qiān míng	cim1 ming4	to sign (one's name with a pen etc) / to autograph / signature
汇报	彙報	レポート	huì bào	wui6 bou3	to report / to give an account of / to collect information and report back || to report / to give an account of / report
合	合	近いです	gě	hap6	100 ml / one-tenth of a peck / measure for dry grain equal to one-tenth of sheng 升 or liter, or one-hundredth dou 斗 || to close / to join / to fit / to be equal to / whole / together / round (in battle) / conjunction (astronomy) / 1st note of pentatonic scale / old variant of 盒
项	項	アイテム	xiàng	hong6	surname Xiang || back of neck / item / thing / term (in a mathematical formula) / sum (of money) / classifier for principles, items, clauses, tasks, research projects etc
汇	彙	為替	huì	wui6	to remit / to converge (of rivers) / to exchange || class / collection
广告	廣告	広告	guǎng gào	gwong2 gou3	to advertise / a commercial / advertisement / CL: 項｜项
预算	預算	予算	yù suàn	jyu6 syun3	budget
资本	資本	首都	zī běn	zi1 bun2	capital (economics)
低	低	低いです	dī	dai1	low / beneath / to lower (one's head) / to let droop / to hang down / to incline
广	廣	広いです	guǎng	gwong2	surname Guang || wide / numerous / to spread
资	資	首都	zī	zi1	resources / capital / to provide / to supply / to support / money / expense
险	險	リスク	xiǎn	him2	danger / dangerous / rugged
投	投	キャスト	tóu	tau4	to cast / to send / to throw oneself (into the river etc) / to seek refuge / to place oneself into the hands of
保险	保險	安全性	bǎo xiǎn	bou2 him2	insurance / to insure / safe / secure / be sure / be bound to / CL: 份
风险	風險	リスク	fēng xiǎn	fung1 him2	risk / hazard
投资	投資	投資	tóu zī	tau4 zi1	investment / to invest
律师	律師	弁護士	lǜ shī	leot6 si1	lawyer
版权	版權	著作権	bǎn quán	baan2 kyun4	copyright
咨询	咨詢	コンサルティング	zī xún	zi1 seon1	to consult / to seek advice / consultation / (sales) inquiry (formal)
律	律	法則	lǜ	leot6	surname Lü || law
版	版	版	bǎn	baan2	a register / block of printing / edition / version / page
咨	咨	諮問	zī	zi1	to consult
权	權	右	quán	kyun4	surname Quan || authority / power / right / (literary) to weigh / expedient / temporary
询	詢	質問	xún	seon1	to ask about / to inquire about
保持	保持	保持	bǎo chí	bou2 ci4	to keep / to maintain / to hold / to preserve
联系	聯系	接触	lián xì	lyun4 hai6	connection / contact / relation / to get in touch with / to integrate / to link / to touch
联	聯	団結しました	lián	lyun4	to ally / to unite / to join / (poetry) antithetical couplet
持	持	サポート	chí	ci4	to hold / to grasp / to support / to maintain / to persevere / to manage / to run (i.e. administer) / to control
合作	合作	連携	hé zuò	hap6 zok3	to cooperate / to collaborate / to work together / cooperation / CL: 個｜个
愉快	愉快	楽しいです	yú kuài	jyu4 faai3	cheerful / cheerily / delightful / pleasant / pleasantly / pleasing / happy / delighted
辛苦	辛苦	ハード	xīn kǔ	san1 fu2	exhausting / hard / tough / arduous / to work hard / to go to a lot of trouble / hardship(s)
感谢	感謝	感謝	gǎn xiè	gam2 ze6	(express) thanks / gratitude / grateful / thankful / thanks
愉	愉	発見	yú	jyu4	pleased
辛	辛	新	xīn	san1	surname Xin || (of taste) hot or pungent / hard / laborious / suffering / eighth in order / eighth of the ten Heavenly Stems 十天干 / letter 'H' or roman 'VIII' in list 'A, B, C', or 'I, II, III' etc / ancient Chinese compass point: 285° / octa
伤	傷	負傷	shāng	soeng1	to injure / injury / wound
受	受	苦しみます	shòu	sau6	to receive / to accept / to suffer / subjected to / to bear / to stand / pleasant / (passive marker)
救	救	保存	jiù	gau3	to save / to assist / to rescue
警	警	警察	jǐng	ging2	to alert / to warn / police
报警	報警	アラーム	bào jǐng	bou3 ging2	to sound an alarm / to report sth to the police
救护车	救護車	救急車	jiù hù chē	gau3 wu6 ce1	ambulance / CL: 輛｜辆
受伤	受傷	負傷者	shòu shāng	sau6 soeng1	to sustain injuries / wounded (in an accident etc) / harmed
救命	救命	助けます	jiù mìng	gau3 ming6	to save sb's life / (interj.) Help! / Save me!
发生	發生	起こります	fā shēng	faat3 saang1	to happen / to occur / to take place / to break out
意外	意外	事故	yì wài	ji3 ngoi6	unexpected / accident / mishap / CL: 個｜个
严重	嚴重	深刻	yán zhòng	jim4 cung4	grave / serious / severe / critical
严	嚴	厳密	yán	jim4	surname Yan || tight (closely sealed) / stern / strict / rigorous / severe / father
命	命	生活	mìng	ming6	life / fate / order or command / to assign a name, title etc
偷	偷	盗みます	tōu	tau1	to steal / to pilfer / to snatch / thief / stealthily
警察	警察	警察	jǐng chá	ging2 caat3	police / police officer / CL: 個｜个
察	察	観察します	chá	caat3	short name for Chahar Province 察哈爾｜察哈尔 || to examine / to inquire / to observe / to inspect / to look into / obvious / clearly evident
奖	獎	賞	jiǎng	zoeng2	prize / award / encouragement / CL: 個｜个
工资	工資	工賃	gōng zī	gung1 zi1	wages / pay / CL: 個｜个, 份, 月
加班	加班	残業	jiā bān	gaa1 baan1	to work overtime
奖金	獎金	ボーナス	jiǎng jīn	zoeng2 gam1	premium / award money / bonus
生意	生意	ビジネス	shēng yì	saang1 ji3	life force / vitality || business / CL: 筆｜笔
压力	壓力	圧力	yā lì	ngaat3 lik6	pressure
责任	責任	責任	zé rèn	zaak3 jam6	responsibility / blame / duty / CL: 個｜个
商量	商量	話し合います	shāng liang	soeng1 loeng6	to consult / to talk over / to discuss
意见	意見	意見	yì jiàn	ji3 gin3	idea / opinion / suggestion / objection / complaint / CL: 點｜点, 條｜条
压	壓	プレス	yā	ngaat3	to press / to push down / to keep under (control) / pressure || see 壓根兒｜压根儿
责	責	責任	zé	zaak3	duty / responsibility / to reproach / to blame
任	任	すべての	rén	jam6	surname Ren / Ren County 任縣｜任县 in Hebei || to assign / to appoint / to take up a post / office / responsibility / to let / to allow / to give free rein to / no matter (how, what etc) / classifier for terms served in office, or for spouses, girlfriends etc (as in 前任男友)
误会	誤會	誤解	wù huì	ng6 wui2	to misunderstand / to mistake / misunderstanding / CL: 個｜个
抱歉	抱歉	ソーリー	bào qiàn	pou5 hip3	to be sorry / to feel apologetic / sorry!
原谅	原諒	許します	yuán liàng	jyun4 loeng6	to excuse / to forgive / to pardon
误	誤	誤って	wù	ng6	mistake / error / to miss / to harm / to delay / to neglect / mistakenly
抱	抱	ホールド	bào	pou5	to hold / to carry (in one's arms) / to hug / to embrace / to surround / to cherish
原	原	主要	yuán	jyun4	Hara (Japanese surname) || former / original / primary / raw / level / cause / source
歉	歉	謝罪	qiàn	hip3	to apologize / to regret / deficient
谅	諒	許します	liàng	loeng6	to show understanding / to excuse / to presume / to expect
干燥	幹燥	干し	gān zào	gon3 cou3	to dry (of weather, paint, cement etc) / desiccation / dull / uninteresting / arid
暖和	暖和	暖かいです	nuǎn huo	nyun5 wo4	warm / nice and warm
凉快	涼快	涼みます	liáng kuai	loeng4 faai3	nice and cold / pleasantly cool
燥	燥	ドライ	zào	cou3	dry / parched / impatient
暖	暖	暖かいです	nuǎn	nyun5	warm / to warm
凉	涼	クール	liáng	loeng4	the five Liang of the Sixteen Kingdoms, namely: Former Liang 前涼｜前凉 (314-376), Later Liang 後涼｜后凉 (386-403), Northern Liang 北涼｜北凉 (398-439), Southern Liang 南涼｜南凉 (397-414), Western Liang 西涼｜西凉 (400-421) || cool / cold || to let sth cool down
温度	溫度	温度	wēn dù	wan1 dou6	temperature / CL: 個｜个
大约	大約	およそ	dà yuē	daai6 joek3	approximately / probably
温	溫	暖かいです	wēn	wan1	surname Wen || warm / lukewarm / temperature / to warm up / mild / soft / tender / to review (a lesson etc) / fever (TCM) / old variant of 瘟
鹰	鷹	鷲	yīng	jing1	eagle / falcon / hawk
羽	羽	羽	yǔ	jyu5	feather / 5th note in pentatonic scale
橙	橙	オレンジ	chéng	caang2	orange tree / orange (color)
猫头鹰	貓頭鷹	梟	māo tóu yīng	maau1 tau4 jing1	owl
羽毛	羽毛	羽	yǔ máo	jyu5 mou4	feather / plumage / plume
多儿	多兒	そして、より多くの子どもたち	duō er	do1 ji4	And more children
鼓励	鼓勵	励まします	gǔ lì	gu2 lai6	to encourage
提醒	提醒	思い出させます	tí xǐng	tai4 sing2	to remind / to call attention to / to warn of
懒	懶	レイジー	lǎn	laan5	lazy
放弃	放棄	諦めます	fàng qì	fong3 hei3	to renounce / to abandon / to give up
鼓	鼓	ドラム	gǔ	gu2	drum / CL: 通, 面 / to drum / to strike / to rouse / to bulge / to swell
励	勵	励まします	lì	lai6	surname Li || to encourage / to urge
醒	醒	モーニングコール	xǐng	sing2	to wake up / to be awake / to become aware / to sober up / to come to
弃	棄	捨てられました	qì	hei3	to abandon / to relinquish / to discard / to throw away
